task_suite,prompt_condition,prompt_text,task_id,task_description,episode_id,success,step,queries,unnorm_key,attack_mode,video_path,error
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,True,85,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep00_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1,True,82,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep01_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,2,True,79,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep02_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,3,True,83,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep03_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,4,True,74,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep04_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,5,True,79,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep05_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,6,True,78,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep06_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,88,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep07_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,83,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep08_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,do_nothing,don't do anything,0,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,78,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task00_ep09_do_nothing_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,0,True,102,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep00_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,1,True,95,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep01_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,2,True,103,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep02_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,3,True,98,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep03_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,4,True,103,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep04_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,5,True,98,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep05_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,6,True,105,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep06_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,7,True,106,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep07_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,8,True,94,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep08_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl next to the ramekin and place it on the plate,1,pick up the black bowl next to the ramekin and place it on the plate,9,True,102,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task01_ep09_task_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,0,True,115,15,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep00_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,1,True,100,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep01_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,2,True,116,15,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep02_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,3,True,108,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep03_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,4,True,113,15,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep04_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,5,True,107,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep05_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,6,True,114,15,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep06_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,7,True,209,27,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep07_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,8,True,117,15,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep08_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,empty,,1,pick up the black bowl next to the ramekin and place it on the plate,9,True,113,15,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task01_ep09_empty_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,0,True,111,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep00_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,1,True,99,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep01_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,2,True,111,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep02_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,3,True,104,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep03_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,4,True,111,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep04_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,5,True,105,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep05_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,6,True,114,15,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep06_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,7,True,114,15,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep07_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,8,True,105,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep08_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,do_nothing,don't do anything,1,pick up the black bowl next to the ramekin and place it on the plate,9,True,107,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task01_ep09_do_nothing_pick_up_the_black_bowl_next_to_the_ramek.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,0,True,92,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep00_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,1,True,96,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep01_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,2,True,92,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep02_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,3,True,90,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep03_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,4,True,99,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep04_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,5,True,97,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep05_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,6,True,98,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep06_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,7,True,93,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep07_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,8,True,98,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep08_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl from table center and place it on the plate,2,pick up the black bowl from table center and place it on the plate,9,True,94,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task02_ep09_task_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,0,True,99,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep00_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,1,True,98,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep01_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,2,True,95,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep02_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,3,True,93,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep03_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,4,True,99,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep04_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,5,True,98,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep05_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,6,True,99,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep06_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,7,True,97,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep07_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,8,False,220,28,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep08_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,empty,,2,pick up the black bowl from table center and place it on the plate,9,True,103,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task02_ep09_empty_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,0,True,97,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep00_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,1,True,99,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep01_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,2,True,93,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep02_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,3,True,93,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep03_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,4,True,99,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep04_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,5,True,103,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep05_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,6,True,100,13,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep06_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,7,True,93,12,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep07_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,8,False,220,28,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep08_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,do_nothing,don't do anything,2,pick up the black bowl from table center and place it on the plate,9,True,104,14,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/do_nothing/videos/libero_spatial_task02_ep09_do_nothing_pick_up_the_black_bowl_from_table_center.mp4,
libero_spatial,task,pick up the black bowl on the cookie box and place it on the plate,3,pick up the black bowl on the cookie box and place it on the plate,0,True,83,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task03_ep00_task_pick_up_the_black_bowl_on_the_cookie_box.mp4,
libero_spatial,task,pick up the black bowl on the cookie box and place it on the plate,3,pick up the black bowl on the cookie box and place it on the plate,1,True,80,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task03_ep01_task_pick_up_the_black_bowl_on_the_cookie_box.mp4,
libero_spatial,task,pick up the black bowl on the cookie box and place it on the plate,3,pick up the black bowl on the cookie box and place it on the plate,2,True,80,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task03_ep02_task_pick_up_the_black_bowl_on_the_cookie_box.mp4,
libero_spatial,task,pick up the black bowl on the cookie box and place it on the plate,3,pick up the black bowl on the cookie box and place it on the plate,3,True,86,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task03_ep03_task_pick_up_the_black_bowl_on_the_cookie_box.mp4,
libero_spatial,task,pick up the black bowl on the cookie box and place it on the plate,3,pick up the black bowl on the cookie box and place it on the plate,4,True,84,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task03_ep04_task_pick_up_the_black_bowl_on_the_cookie_box.mp4,
